Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
OL416096	Proteus phage 309	Proteus phage 309 Novosibovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41740	FALSE	41.303	DNA	11-MAY-2022	56	96.4285714285714	3.57142857142857	93.1264973646382	NA	0	Proteus	Novosibovirus	Novosibovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Proteus mirabilis B16ATH
ON146449	Klebsiella phage FK1979	Klebsiella phage FK1979 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43644	FALSE	53.849	DNA	09-MAY-2022	57	0	100	93.4149023920814	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae FK1979
ON080941	Vibrio phage F23s2	Vibrio phage F23s2 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43386	FALSE	49.362	DNA	07-MAY-2022	49	0	100	94.5097496888397	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
ON080940	Vibrio phage H256D1	Vibrio phage H256D1 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	35587	FALSE	49.751	DNA	07-MAY-2022	38	100	0	96.7684828729592	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
ON132389	Klebsiella phage P1010	Klebsiella phage P1010 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44270	FALSE	53.569	DNA	07-MAY-2022	57	0	100	94.9130336571041	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OM362522	Vibrio phage vB_VpaP_GHSM17	Vibrio phage vB_VpaP_GHSM17 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43228	FALSE	49.429	DNA	02-MAY-2022	49	0	100	94.7441473119274	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus OY49
OM913598	Aeromonas phage vB_AspA_Lolek	Aeromonas phage vB_AspA_Lolek Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43136	FALSE	52.587	DNA	19-APR-2022	55	98.1818181818182	1.81818181818182	92.47728115727	NA	0	Aeromonas	Autographiviridae	Unclassified	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Aeromonas sp. MR19
OM913597	Aeromonas phage vB_AspA_Bolek	Aeromonas phage vB_AspA_Bolek Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42433	FALSE	52.688	DNA	19-APR-2022	54	100	0	92.2772370560648	NA	0	Aeromonas	Autographiviridae	Unclassified	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Aeromonas sp. MR7
OM864357	Escherichia phage ZH5	Escherichia phage ZH5 Kayfunavirus Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42949	FALSE	51.405	DNA	13-APR-2022	50	100	0	93.4317446273487	NA	0	Escherichia	Kayfunavirus	Kayfunavirus	Studiervirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli
OL770263	Acinetobacter phage AbTP3phi1	Acinetobacter phage AbTP3phi1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42093	FALSE	39.137	DNA	22-MAR-2022	48	100	0	92.0034209963652	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
OM799543	Vibrio phage OY1	Vibrio phage OY1 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43479	FALSE	49.267	DNA	13-MAR-2022	49	100	0	94.8319878562064	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio sp.
OK349506	Vibrio phage vB_VpaP_AL-1	Vibrio phage vB_VpaP_AL-1 Maculvirus VP93 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42854	FALSE	49.109	DNA	10-MAR-2022	48	100	0	94.5559341018341	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus M2413
OL964948	Acinetobacter phage vB_AbaP_PE21	Acinetobacter phage vB_AbaP_PE21 Friunavirus AS11 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41655	FALSE	39.287	DNA	23-FEB-2022	49	100	0	92.8411955347497	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii 28
MZ602146	Klebsiella phage vB_KpnP_NER40	Klebsiella phage vB_KpnP_NER40 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42674	FALSE	54.272	DNA	15-FEB-2022	53	100	0	92.5856493415194	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae Kp40
OL976437	Klebsiella phage Kpn BHU3	Klebsiella phage Kpn BHU3 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43437	FALSE	54.065	DNA	12-FEB-2022	52	100	0	93.618343808274	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OM234793	Pseudomonas phage PA28	Pseudomonas phage PA28 Novosibovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42910	FALSE	41.384	DNA	12-FEB-2022	52	96.1538461538462	3.84615384615385	92.2861803775344	NA	0	Pseudomonas	Novosibovirus	Novosibovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OL979479	Klebsiella phage Kpn BHU2	Klebsiella phage Kpn BHU2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42251	FALSE	52.124	DNA	31-JAN-2022	47	23.4042553191489	76.5957446808511	97.9550779863198	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OL979478	Klebsiella phage Kpn BHU1	Klebsiella phage Kpn BHU1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40410	FALSE	52.833	DNA	31-JAN-2022	48	100	0	96.9339272457313	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ634343	Klebsiella phage PWKp9B	Klebsiella phage PWKp9B Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44881	FALSE	53.501	DNA	23-JAN-2022	54	1.85185185185185	98.1481481481482	93.1062142109133	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ634342	Klebsiella phage PWKp7	Klebsiella phage PWKp7 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44892	FALSE	53.542	DNA	23-JAN-2022	54	1.85185185185185	98.1481481481482	92.7425821972735	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ634340	Klebsiella phage PWKp3	Klebsiella phage PWKp3 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44626	FALSE	53.464	DNA	23-JAN-2022	52	1.92307692307692	98.0769230769231	92.0046609599785	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ634339	Klebsiella phage PWKp2	Klebsiella phage PWKp2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44612	FALSE	53.557	DNA	23-JAN-2022	53	98.1132075471698	1.88679245283019	89.9287187303864	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ634338	Klebsiella phage PWKp1	Klebsiella phage PWKp1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44602	FALSE	53.538	DNA	23-JAN-2022	52	98.0769230769231	1.92307692307692	92.0541679745303	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MN812692	Pectobacterium phage Rambam	Pectobacterium phage Rambam Kotilavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43928	FALSE	49.083	DNA	31-DEC-2021	53	0	100	95.0236751047168	NA	0	Pectobacterium	Kotilavirus	Kotilavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Dickeya dianthicola F127
MN812690	Dickeya phage Irene	Dickeya phage Irene Kotilavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44368	FALSE	51.715	DNA	31-DEC-2021	58	1.72413793103448	98.2758620689655	93.0670753696358	NA	0	Dickeya	Kotilavirus	Kotilavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium carotovorum ssp brasiliense F169
OL474125	Klebsiella phage BUCT86	Klebsiella phage BUCT86 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44542	FALSE	54.328	DNA	11-DEC-2021	57	100	0	93.8485025369314	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella sp.
OK583892	Klebsiella phage KPPK108.1	Klebsiella phage KPPK108.1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43755	FALSE	53.603	DNA	06-DEC-2021	52	100	0	91.7586561535825	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae strain 1333/P-225
OK562429	Klebsiella phage P929	Klebsiella phage P929 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44764	FALSE	53.661	DNA	28-NOV-2021	58	100	0	93.5640246626754	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae Kp325
OK546191	Acinetobacter phage vB_AbaP_ABWU2101	Acinetobacter phage vB_AbaP_ABWU2101 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41496	FALSE	39.454	DNA	28-NOV-2021	52	0	100	93.6379410063621	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MZ936316	Acinetobacter phage APK20	Acinetobacter phage APK20 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42351	FALSE	39.279	DNA	22-SEP-2021	51	100	0	92.4700715449458	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain MAR 14-595
MZ936315	Acinetobacter phage APK15	Acinetobacter phage APK15 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41092	FALSE	39.300	DNA	22-SEP-2021	49	100	0	92.9012946558941	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain MAR 15-4788
MZ936314	Acinetobacter phage APK86	Acinetobacter phage APK86 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41297	FALSE	39.250	DNA	22-SEP-2021	49	100	0	91.7136838026975	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain 55-66
MZ868725	Acinetobacter phage APK16	Acinetobacter phage APK16 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41135	FALSE	39.441	DNA	22-SEP-2021	47	100	0	91.8560836270816	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain D4
MZ868726	Acinetobacter phage APK77	Acinetobacter phage APK77 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41350	FALSE	39.156	DNA	22-SEP-2021	45	100	0	91.1100362756953	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain APEX 104
MZ868724	Acinetobacter phage APK09	Acinetobacter phage APK09 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41477	FALSE	39.154	DNA	22-SEP-2021	49	100	0	92.4078404899101	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain B05
MZ099557	Acinetobacter phage vB_AbaP_WU2001	Acinetobacter phage vB_AbaP_WU2001 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40792	FALSE	39.410	DNA	19-AUG-2021	49	100	0	93.5992351441459	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MZ592921	Vibrio phage vB_VpP_NS8	Vibrio phage vB_VpP_NS8 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43252	FALSE	49.244	DNA	18-AUG-2021	47	100	0	94.2892814205124	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
OU509534	Klebsiella pneumoniae phage	Klebsiella pneumoniae phage Viruses	44964	FALSE	54.214	DNA	12-AUG-2021	56	100	0	94.7424606351748	NA	0	Klebsiella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Unspecified
OU509533	Klebsiella pneumoniae phage	Klebsiella pneumoniae phage Viruses	43726	FALSE	54.133	DNA	12-AUG-2021	54	100	0	94.4197960023784	NA	0	Klebsiella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Unspecified
MZ593174	Acinetobacter phage vB_Api_3043-K38	Acinetobacter phage vB_Api_3043-K38 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41882	FALSE	39.308	DNA	04-AUG-2021	53	100	0	93.5342151759706	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter pittii
MZ516827	Vibrio phage vB_VpP_DE10	Vibrio phage vB_VpP_DE10 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42871	FALSE	49.192	DNA	28-JUL-2021	47	100	0	93.1188915583961	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
MW250275	Kosakonia virus Kc261	Kosakonia virus Kc261 Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42432	FALSE	55.475	DNA	28-JUL-2021	54	100	0	94.1529977375566	NA	0	Kosakonia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Kosakonia cowanii
MT783706	Acinetobacter phage Aristophanes	Acinetobacter phage Aristophanes Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43505	FALSE	42.528	DNA	30-JUL-2021	45	100	0	93.0996437191127	NA	0	Acinetobacter	Beijerinckvirinae	Unclassified	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain KZ-1098
MZ424864	Escherichia phage vB_EcoP_ZX6	Escherichia phage vB_EcoP_ZX6 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43510	FALSE	53.680	DNA	20-JUL-2021	52	0	100	93.6681222707424	NA	0	Escherichia	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli X3
MW366783	Acinetobacter phage Pipo	Acinetobacter phage Pipo Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41956	FALSE	39.160	DNA	19-JUL-2021	49	100	0	91.4171989703499	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MW366784	Acinetobacter phage Paty	Acinetobacter phage Paty Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41264	FALSE	39.419	DNA	19-JUL-2021	49	100	0	92.6594610314075	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MZ182247	Vibrio phage vB_VpP_DE18	Vibrio phage vB_VpP_DE18 Maculvirus KF2 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43464	FALSE	49.561	DNA	29-JUN-2021	49	100	0	94.2711209276643	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus
MZ208805	Klebsiella phage SRD2021	Klebsiella phage SRD2021 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	45212	FALSE	53.831	DNA	29-JUN-2021	55	100	0	91.7212244536849	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	K47 serotype Klebsiella pneumoniae
MW590329	Klebsiella phage Kp_Pokalde_001	Klebsiella phage Kp_Pokalde_001 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44535	FALSE	54.088	DNA	22-JUN-2021	54	100	0	93.8901987201078	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ020222	Vibrio phage BUCT233	Vibrio phage BUCT233 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43245	FALSE	49.275	DNA	08-JUN-2021	49	0	100	94.6930280957336	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus 1638
MW926912	Acinetobacter phage vB_AbaP_100	Acinetobacter phage vB_AbaP_100 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41743	FALSE	39.571	DNA	31-MAY-2021	51	100	0	90.0222791845339	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MW459163	Acinetobacter phage vB_AbaP_APK128	Acinetobacter phage vB_AbaP_APK128 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42013	FALSE	39.219	DNA	16-MAY-2021	47	100	0	91.6145002737248	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain KZ-1093
MN101220	Klebsiella phage KMI6	Klebsiella phage KMI6 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43883	FALSE	53.634	DNA	18-FEB-2021	58	98.2758620689655	1.72413793103448	93.0086821776086	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella michiganensis
MN101219	Klebsiella phage KMI5	Klebsiella phage KMI5 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43735	FALSE	54.023	DNA	18-FEB-2021	56	100	0	94.4552417971876	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella michiganensis
MN101217	Klebsiella phage KMI3	Klebsiella phage KMI3 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43746	FALSE	54.019	DNA	18-FEB-2021	55	100	0	93.9925936085585	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella michiganensis
MN850625	Escherichia phage smaasur	Escherichia phage smaasur Bonnellvirus J865 Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41110	FALSE	55.410	DNA	01-FEB-2021	48	0	100	92.2987107759669	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
MN850624	Escherichia phage usur	Escherichia phage usur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41906	FALSE	55.414	DNA	01-FEB-2021	51	0	100	93.7383668209803	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
MN850617	Escherichia phage forsur	Escherichia phage forsur Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42476	FALSE	55.387	DNA	01-FEB-2021	55	100	0	92.798286090969	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 MG1655
