Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
HM753663,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753664,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753665,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753666,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753667,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753668,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753669,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753670,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753671,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753672,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753673,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753674,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753675,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753676,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753677,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753678,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753679,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753680,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753681,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753682,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753683,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753684,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753685,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753686,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753687,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753688,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753689,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753690,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753691,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753692,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753693,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753694,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753695,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753696,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753697,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753698,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753699,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753700,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753701,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753702,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753703,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753704,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753705,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753706,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753707,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753708,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753709,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753710,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753711,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753712,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753713,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753714,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753715,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753716,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753717,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM753718,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM755814,preVC_560,Clustered,VC_560_0,75,0.9398,1.0,5.391772632812681,0.9398,1.0
HM770079,preVC_5,Clustered,VC_5_0,45,0.9219,1.0,4.232788902746657,0.9219,1.0
HM775306,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM775307,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM775308,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM775309,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM775310,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM775311,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
HM997019,preVC_847,Clustered,VC_847_0,3,0.1108,0.99687542,4.3511656201758475,0.1105,1.0
HM997020,preVC_290,Clustered,VC_290_49,2,0.0027,0.88174363,1.7320508075688772,0.0024,1.0
HQ110083,preVC_7,Clustered,VC_7_0,26,0.9564,1.0,5.732533940464716,0.9564,1.0
HQ110084,preVC_233,Clustered,VC_233_0,63,0.9522,1.0,4.93662410690957,0.9522,1.0
HQ127381,preVC_10,Clustered,VC_10_0,38,0.4977,1.0,7.6679937134406515,0.4977,1.0
HQ141410,preVC_414,Clustered,VC_414_0,2,0.0561,0.89873635,7.14142842854285,0.0504,1.0
HQ141411,preVC_306,Clustered,VC_306_0,2,0.1145,0.9089236,6.164414002968976,0.1041,1.0
HQ163896,preVC_156,Clustered,VC_156_15,67,0.4697,1.0,6.776235086781954,0.4697,0.7463
HQ186308,preVC_732,Clustered,VC_732_0,72,0.9323,1.0,4.546585647638638,0.9323,1.0
HQ201307,preVC_37,Clustered,VC_37_0,4,0.0619,0.99989081,7.0618456506331455,0.0618,1.0
HQ201308,,Overlap (VC_36/VC_42),,,,,,,
HQ224500,preVC_909,Clustered,VC_909_0,10,0.9717,0.99999744,1.9495580020335408,0.9717,1.0
HQ225832,,Singleton,,,,,,,
HQ259103,preVC_143,Clustered,VC_143_27,7,0.0322,0.99999996,7.018416838294947,0.0322,0.9048
HQ259105,preVC_814,Clustered,VC_814_1,39,0.5995,1.0,6.668379247121468,0.5995,0.9933
HQ264138,,Singleton,,,,,,,
HQ268735,preVC_113,Clustered,VC_113_0,3,0.7801,0.98853398,6.3759621991869935,0.7712,1.0
HQ316579,preVC_538,Clustered/Singleton,VC_538_7,1,0.0,0.0,0,0.0,1.0
HQ316580,,Outlier,,,,,,,
HQ316581,preVC_257,Clustered,VC_257_0,11,0.7074,1.0,1.2894285804184313,0.7074,1.0
HQ316582,preVC_931,Clustered,VC_931_0,3,0.9761,0.98541157,4.760952285695233,0.9618,1.0
HQ316583,preVC_692,Clustered,VC_692_0,2,0.0092,0.81377926,1.4142135623730951,0.0075,1.0
HQ316584,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ316603,preVC_692,Clustered,VC_692_0,2,0.0092,0.81377926,1.4142135623730951,0.0075,1.0
HQ316604,preVC_933,Clustered,VC_933_1,4,0.1282,0.99995796,3.059816490590112,0.1282,1.0
HQ317290,preVC_697,Clustered,VC_697_0,62,0.7074,1.0,5.138081436367253,0.7074,1.0
HQ317291,preVC_697,Clustered,VC_697_0,62,0.7074,1.0,5.138081436367253,0.7074,1.0
HQ317292,preVC_697,Clustered,VC_697_0,62,0.7074,1.0,5.138081436367253,0.7074,1.0
HQ317383,preVC_691,Clustered/Singleton,VC_691_1,1,0.0,0.0,0,0.0,1.0
HQ317384,preVC_912,Clustered,VC_912_0,3,0.537,0.99686568,4.0,0.5354,1.0
HQ317385,,Overlap (VC_472/VC_692),,,,,,,
HQ317386,preVC_938,Clustered,VC_938_0,5,0.737,0.99997211,4.461720338533148,0.737,1.0
HQ317387,preVC_864,Clustered,VC_864_0,16,0.9224,1.0,6.034259514900389,0.9224,1.0
HQ317388,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ317389,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ317390,preVC_939,Clustered,VC_939_0,2,1.0,0.0,8.774964387392123,0.0,1.0
HQ317391,preVC_469,Clustered,VC_469_10,2,0.0228,0.91540693,1.0,0.0209,1.0
HQ317392,preVC_940,Clustered,VC_940_0,6,0.2814,1.0,1.82971466322928,0.2814,1.0
HQ317393,preVC_577,Clustered/Singleton,VC_577_2,1,0.0,0.0,0,0.0,1.0
HQ331142,,Overlap (VC_292/VC_533/VC_535),,,,,,,
HQ332136,preVC_942,Clustered,VC_942_0,2,0.2047,0.77777778,6.324555320336759,0.1592,1.0
HQ332137,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ332138,preVC_343,Clustered,VC_343_0,2,0.1211,0.68421053,8.426149773176359,0.0829,1.0
HQ332139,,Outlier,,,,,,,
HQ332140,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ332141,preVC_357,Clustered,VC_357_0,3,0.811,0.98787879,6.174937016637579,0.8011,1.0
HQ332142,preVC_912,Clustered,VC_912_0,3,0.537,0.99686568,4.0,0.5354,1.0
HQ333270,preVC_422,Clustered,VC_422_0,50,0.7899,1.0,5.142378075656804,0.7899,1.0
HQ337021,preVC_691,Clustered,VC_691_3,3,0.0246,0.9972177,5.84952587406499,0.0245,1.0
HQ337022,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ377372,preVC_764,Clustered,VC_764_0,9,0.9924,1.0,3.691668172148807,0.9924,1.0
HQ377373,preVC_764,Clustered,VC_764_0,9,0.9924,1.0,3.691668172148807,0.9924,1.0
HQ396194,preVC_943,Clustered,VC_943_0,4,0.8874,0.98665421,2.8663398378642615,0.8756,1.0
HQ403646,preVC_944,Clustered,VC_944_0,39,0.909,1.0,6.29867221202118,0.909,1.0
HQ406778,preVC_197,Clustered,VC_197_21,11,0.0793,1.0,8.241486831370835,0.0793,0.8
HQ424691,preVC_48,Clustered,VC_48_0,48,0.4489,1.0,6.757814244322936,0.4489,0.852
HQ615693,,Outlier,,,,,,,
HQ630627,preVC_349,Clustered/Singleton,VC_349_6,1,0.0,0.0,0,0.0,1.0
HQ632825,preVC_469,Clustered,VC_469_9,3,0.0382,0.99715722,3.3696837745690686,0.0381,1.0
HQ632857,preVC_946,Clustered,VC_946_0,2,0.9499,0.33333333,0.0,0.3166,1.0
HQ632858,preVC_946,Clustered,VC_946_0,2,0.9499,0.33333333,0.0,0.3166,1.0
HQ632859,preVC_644,Clustered,VC_644_0,4,0.0551,0.97219704,8.366225723230025,0.0535,1.0
HQ632860,preVC_682,Clustered,VC_682_4,7,0.1496,1.0,7.9426670377535,0.1496,0.8095
HQ633062,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ633071,preVC_469,Clustered/Singleton,VC_469_7,1,0.0,0.0,0,0.0,1.0
HQ634152,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ634153,,Outlier,,,,,,,
HQ634156,,Overlap (VC_539/VC_540),,,,,,,
HQ634157,preVC_538,Clustered/Singleton,VC_538_3,1,0.0,0.0,0,0.0,1.0
HQ634174,,Outlier,,,,,,,
HQ634175,preVC_691,Clustered/Singleton,VC_691_4,1,0.0,0.0,0,0.0,1.0
HQ634176,preVC_691,Clustered,VC_691_3,3,0.0246,0.9972177,5.84952587406499,0.0245,1.0
HQ634177,preVC_470,Clustered,VC_470_0,6,0.0782,1.0,2.030603655129013,0.0782,1.0
HQ634178,,Overlap (VC_692/VC_697/VC_699),,,,,,,
HQ634187,preVC_362,Clustered,VC_362_0,2,0.2102,0.8642219,6.855654600401044,0.1817,1.0
HQ634188,preVC_345,Clustered,VC_345_0,32,0.984,1.0,7.157815877980993,0.984,1.0
HQ634189,preVC_691,Clustered,VC_691_8,3,0.0177,0.99710381,6.133805632010136,0.0177,1.0
HQ634190,preVC_691,Clustered,VC_691_7,2,0.0079,0.91490956,2.8284271247461903,0.0072,1.0
HQ634191,,Overlap (VC_472/VC_692),,,,,,,
HQ634192,preVC_953,Clustered,VC_953_0,4,0.8487,0.99444402,1.5811388300841898,0.844,1.0
HQ634193,,Outlier,,,,,,,
HQ634194,preVC_954,Clustered,VC_954_1,3,0.1803,0.99661956,5.120763831912405,0.1797,1.0
HQ634195,preVC_538,Clustered/Singleton,VC_538_8,1,0.0,0.0,0,0.0,1.0
HQ634196,preVC_954,Clustered,VC_954_1,3,0.1803,0.99661956,5.120763831912405,0.1797,1.0
HQ641340,preVC_89,Clustered,VC_89_0,32,0.9281,1.0,3.872863691955396,0.9281,1.0
HQ641341,preVC_89,Clustered,VC_89_0,32,0.9281,1.0,3.872863691955396,0.9281,1.0
HQ641342,preVC_89,Clustered,VC_89_0,32,0.9281,1.0,3.872863691955396,0.9281,1.0
HQ641343,preVC_89,Clustered,VC_89_0,32,0.9281,1.0,3.872863691955396,0.9281,1.0
HQ641344,preVC_89,Clustered,VC_89_0,32,0.9281,1.0,3.872863691955396,0.9281,1.0
HQ641345,preVC_786,Clustered,VC_786_0,8,0.7402,1.0,2.3808580387036185,0.7402,1.0
HQ641346,preVC_786,Clustered,VC_786_0,8,0.7402,1.0,2.3808580387036185,0.7402,1.0
HQ641347,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641348,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641349,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641350,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641351,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641352,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641353,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641354,preVC_540,Clustered,VC_540_1,41,0.3274,1.0,6.833535728420036,0.3274,0.872
HQ641380,,Outlier,,,,,,,
HQ665011,preVC_197,Clustered,VC_197_23,5,0.0294,0.99999946,8.292186608583194,0.0294,0.7
HQ683709,preVC_956,Clustered,VC_956_0,2,0.3514,0.85320691,8.12403840463596,0.2998,1.0
HQ698895,preVC_922,Clustered,VC_922_0,2,0.0472,0.27307221,8.888194417315589,0.0129,1.0
HQ698922,preVC_535,Clustered,VC_535_0,2,0.0158,0.15220636,3.0,0.0024,1.0
HQ711984,preVC_302,Clustered,VC_302_1,20,0.5493,1.0,6.325476067772655,0.5493,0.7632
HQ711985,preVC_248,Clustered,VC_248_1,3,0.08,0.99703664,8.307570691653508,0.0798,0.6667
HQ728263,preVC_333,Clustered,VC_333_0,11,0.5396,1.0,2.3079434042589817,0.5396,1.0
HQ728264,preVC_827,Clustered,VC_827_0,36,0.9843,1.0,5.6832571004827255,0.9843,1.0
HQ728265,preVC_423,Clustered,VC_423_0,3,0.0426,0.99721983,4.1082764583304625,0.0425,1.0
HQ728266,,Outlier,,,,,,,
HQ728524,preVC_595,Clustered,VC_595_13,3,0.0272,0.99719928,5.527621219840808,0.0271,1.0
HQ829472,preVC_294,Clustered,VC_294_5,26,0.3139,1.0,8.377684871475921,0.3139,0.6892
HQ832595,preVC_81,Clustered,VC_81_0,41,0.9474,1.0,4.728866081747329,0.9474,1.0
HQ906662,preVC_25,Clustered,VC_25_0,11,0.5256,1.0,5.517071790265978,0.5256,1.0
HQ906663,preVC_25,Clustered,VC_25_0,11,0.5256,1.0,5.517071790265978,0.5256,1.0
HQ906664,preVC_25,Clustered,VC_25_0,11,0.5256,1.0,5.517071790265978,0.5256,1.0
HQ918180,preVC_703,Clustered,VC_703_0,25,0.5538,1.0,6.295612677592527,0.5538,0.94
JF270478,,Outlier,,,,,,,
JF314845,,Outlier,,,,,,,
JF317274,,Outlier,,,,,,,
JF344709,preVC_958,Clustered,VC_958_0,3,0.5732,0.9843255,5.5969780246788075,0.5642,1.0
JF412294,preVC_960,Clustered,VC_960_0,3,0.1075,0.76144296,6.874056375650237,0.0819,1.0
JF412295,,Outlier,,,,,,,
JF412296,preVC_659,Clustered,VC_659_0,2,0.0327,0.88388636,4.47213595499958,0.0289,1.0
JF412297,,Outlier,,,,,,,
JF412298,preVC_769,Clustered,VC_769_0,2,1.0,0.0,6.48074069840786,0.0,1.0
JF412299,,Outlier,,,,,,,
JF412300,,Singleton,,,,,,,
JF412301,,Singleton,,,,,,,
JF412302,,Outlier,,,,,,,
JF461087,preVC_334,Clustered,VC_334_17,13,0.0749,1.0,6.737787559834217,0.0749,0.9615
JF501022,preVC_964,Clustered,VC_964_0,99,0.9171,1.0,7.066568089915761,0.9171,0.9899
JF704091,preVC_376,Clustered,VC_376_6,65,0.2111,1.0,8.721632529217578,0.2111,0.5933
JF704092,preVC_610,Clustered,VC_610_22,4,0.0102,0.99386814,8.099290599103137,0.0102,0.8333
JF704093,,Overlap (VC_564/VC_565),,,,,,,
JF704094,preVC_606,Clustered,VC_606_0,24,0.549,1.0,3.600502884628921,0.549,1.0
JF704095,preVC_554,Clustered,VC_554_0,38,0.9786,1.0,2.4949291163713956,0.9786,1.0
JF704096,preVC_610,Clustered,VC_610_26,17,0.0546,1.0,5.327668930407744,0.0546,0.9926
JF704097,preVC_558,Clustered,VC_558_0,38,0.9188,1.0,4.653108683596979,0.9188,1.0
JF704098,preVC_560,Clustered,VC_560_0,75,0.9398,1.0,5.391772632812681,0.9398,1.0
JF704099,preVC_376,Clustered,VC_376_15,26,0.0903,1.0,8.345286403750455,0.0903,0.8031
JF704100,preVC_966,Clustered,VC_966_0,16,1.0,0.0,2.9454668090213563,0.0,1.0
JF704101,preVC_560,Clustered,VC_560_0,75,0.9398,1.0,5.391772632812681,0.9398,1.0
JF704102,preVC_376,Clustered,VC_376_6,65,0.2111,1.0,8.721632529217578,0.2111,0.5933
JF704103,preVC_376,Clustered,VC_376_7,36,0.1141,1.0,8.423479642109177,0.1141,0.7746
JF704104,preVC_606,Clustered,VC_606_0,24,0.549,1.0,3.600502884628921,0.549,1.0
JF704105,preVC_246,Clustered,VC_246_0,72,0.8097,1.0,6.056086340014308,0.8097,1.0
JF704106,preVC_246,Clustered,VC_246_0,72,0.8097,1.0,6.056086340014308,0.8097,1.0
JF704107,preVC_967,Clustered,VC_967_0,34,0.7954,1.0,4.691882355469968,0.7954,1.0
JF704108,preVC_918,Clustered,VC_918_0,18,0.3778,1.0,4.089851846112168,0.3778,1.0
JF704109,preVC_376,Clustered,VC_376_6,65,0.2111,1.0,8.721632529217578,0.2111,0.5933
JF704110,preVC_230,Clustered,VC_230_0,32,0.8457,1.0,5.824376535695499,0.8457,0.996
JF704111,preVC_559,Clustered,VC_559_0,33,0.6761,1.0,4.672821111049719,0.6761,1.0
JF704112,preVC_619,Clustered,VC_619_0,8,0.5599,1.0,2.5403294933434055,0.5599,1.0
JF704113,preVC_918,Clustered,VC_918_0,18,0.3778,1.0,4.089851846112168,0.3778,1.0
JF704114,preVC_560,Clustered,VC_560_0,75,0.9398,1.0,5.391772632812681,0.9398,1.0
JF704115,,Overlap (VC_572/VC_595),,,,,,,
JF704116,preVC_610,Clustered/Singleton,VC_610_8,1,0.0,0.0,0,0.0,1.0
JF704117,preVC_595,Clustered,VC_595_79,2,0.0078,0.91524165,9.0,0.0071,0.0
JF712866,preVC_654,Clustered,VC_654_0,16,0.9217,1.0,2.7006702409904744,0.9217,1.0
JF713456,preVC_933,Clustered,VC_933_0,6,0.1979,1.0,6.30870119951045,0.1979,1.0
JF719726,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
JF719727,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
JF719728,preVC_311,Clustered,VC_311_0,155,0.9978,1.0,1.3152558553462659,0.9978,1.0
JF719729,preVC_367,Clustered,VC_367_0,358,0.9618,1.0,1.2420946924840317,0.9618,1.0
JF719730,preVC_367,Clustered,VC_367_0,358,0.9618,1.0,1.2420946924840317,0.9618,1.0
JF719731,preVC_367,Clustered,VC_367_0,358,0.9618,1.0,1.2420946924840317,0.9618,1.0
JF719732,preVC_65,Clustered,VC_65_0,12,0.6893,1.0,0.5491309195018075,0.6893,1.0
JF719733,preVC_65,Clustered,VC_65_0,12,0.6893,1.0,0.5491309195018075,0.6893,1.0
JF719734,preVC_65,Clustered,VC_65_0,12,0.6893,1.0,0.5491309195018075,0.6893,1.0
JF731128,preVC_112,Clustered,VC_112_0,37,0.8473,1.0,6.019306666400921,0.8473,1.0
JF734911,preVC_104,Clustered,VC_104_0,32,0.8867,1.0,3.0039006754772752,0.8867,1.0
JF744988,preVC_919,Clustered,VC_919_0,28,0.5629,1.0,3.931963860105313,0.5629,1.0
JF767208,preVC_850,Clustered,VC_850_0,8,0.9907,0.99999995,3.6624619790168973,0.9907,1.0
JF767209,preVC_850,Clustered,VC_850_0,8,0.9907,0.99999995,3.6624619790168973,0.9907,1.0
JF767210,preVC_850,Clustered,VC_850_0,8,0.9907,0.99999995,3.6624619790168973,0.9907,1.0
JF770475,preVC_494,Clustered,VC_494_0,18,0.4705,1.0,5.4383936982995955,0.4705,1.0
JF773396,preVC_764,Clustered,VC_764_0,9,0.9924,1.0,3.691668172148807,0.9924,1.0
JF792674,preVC_563,Clustered,VC_563_0,109,0.85,1.0,6.2668847697749985,0.85,0.9981
JF832915,,Overlap (VC_186/VC_189),,,,,,,
JF900176,,Overlap (VC_34/VC_37),,,,,,,
JF912400,,Overlap (VC_634/VC_636),,,,,,,
JF917095,preVC_970,Clustered,VC_970_0,2,1.0,0.0,0.0,0.0,1.0
JF923796,preVC_801,Clustered,VC_801_0,35,0.9194,1.0,6.568136935159096,0.9194,1.0
JF923797,preVC_801,Clustered,VC_801_0,35,0.9194,1.0,6.568136935159096,0.9194,1.0
JF937090,preVC_597,Clustered,VC_597_4,4,0.0413,0.98190438,7.829726936891988,0.0405,1.0
JF937091,preVC_602,Clustered,VC_602_3,13,0.0746,1.0,7.918603453282349,0.0746,0.7564
JF937092,preVC_558,Clustered,VC_558_0,38,0.9188,1.0,4.653108683596979,0.9188,1.0
JF937093,preVC_595,Clustered,VC_595_26,11,0.0924,1.0,8.470090563694974,0.0924,0.6727
JF937094,preVC_558,Clustered,VC_558_0,38,0.9188,1.0,4.653108683596979,0.9188,1.0
JF937095,preVC_376,Clustered,VC_376_12,3,0.0075,0.99595857,6.049138031018202,0.0075,1.0
JF937096,preVC_602,Clustered,VC_602_5,17,0.0985,1.0,7.386187803137512,0.0985,0.9632
JF937097,preVC_376,Clustered,VC_376_6,65,0.2111,1.0,8.721632529217578,0.2111,0.5933
JF937098,preVC_595,Clustered,VC_595_84,2,0.0102,0.91524148,8.602325267042627,0.0093,1.0
JF937099,preVC_331,Clustered/Singleton,VC_331_68,1,0.0,0.0,0,0.0,1.0
JF937100,preVC_331,Clustered,VC_331_39,2,0.0034,0.85734174,9.0,0.003,0.0
JF937101,preVC_597,Clustered/Singleton,VC_597_11,1,0.0,0.0,0,0.0,1.0
JF937102,preVC_595,Clustered/Singleton,VC_595_88,1,0.0,0.0,0,0.0,1.0
JF937103,preVC_331,Clustered,VC_331_13,11,0.0527,1.0,7.889423838093339,0.0527,0.8
JF937104,preVC_242,Clustered,VC_242_1,13,0.1795,1.0,6.83815243294144,0.1795,0.9103
JF937105,preVC_796,Clustered,VC_796_2,7,0.261,1.0,6.212571411155103,0.261,1.0
JF937106,preVC_602,Clustered,VC_602_3,13,0.0746,1.0,7.918603453282349,0.0746,0.7564
JF937107,preVC_616,Clustered,VC_616_0,20,0.7881,1.0,2.4073986844053334,0.7881,1.0
JF937108,preVC_331,Clustered,VC_331_6,11,0.0471,1.0,8.53125933369984,0.0471,0.7455
JF937109,preVC_376,Clustered,VC_376_9,5,0.0161,0.99999988,6.176040846098661,0.0161,0.9
JF937110,preVC_331,Clustered,VC_331_6,11,0.0471,1.0,8.53125933369984,0.0471,0.7455
JF939047,preVC_781,Clustered,VC_781_0,39,0.6973,1.0,5.230286683707224,0.6973,1.0
JF946695,preVC_222,Clustered,VC_222_2,5,0.0589,0.99999995,7.135302475488433,0.0589,1.0
JF957056,preVC_376,Clustered,VC_376_6,65,0.2111,1.0,8.721632529217578,0.2111,0.5933
JF957057,preVC_331,Clustered,VC_331_17,2,0.0041,0.91160374,8.94427190999916,0.0037,1.0
JF957058,preVC_559,Clustered,VC_559_0,33,0.6761,1.0,4.672821111049719,0.6761,1.0
JF957059,preVC_597,Clustered,VC_597_4,4,0.0413,0.98190438,7.829726936891988,0.0405,1.0
JF957060,preVC_225,Clustered,VC_225_0,5,0.0846,0.99999995,6.592093449741762,0.0846,1.0
JF966203,preVC_914,Clustered,VC_914_0,10,0.2055,1.0,6.946436405042399,0.2055,1.0
JF974286,preVC_952,Clustered,VC_952_0,3,0.7788,0.9888276,0.6666666666666666,0.7701,1.0
JF974287,preVC_683,Clustered,VC_683_0,2,0.1071,0.9030312,8.306623862918075,0.0967,1.0
JF974288,,Overlap (VC_472/VC_692),,,,,,,
JF974289,,Overlap (VC_472/VC_692),,,,,,,
JF974292,,Overlap (VC_692/VC_696),,,,,,,
JF974293,,Overlap (VC_472/VC_692),,,,,,,
JF974294,preVC_500,Clustered,VC_500_0,21,0.4931,1.0,7.163683813434568,0.4931,1.0
JF974295,preVC_463,Clustered,VC_463_0,2,0.0197,0.7880869,8.888194417315589,0.0155,1.0
JF974296,preVC_954,Clustered,VC_954_1,3,0.1803,0.99661956,5.120763831912405,0.1797,1.0
