Accession	identity%	coverage%
NC_048118 Pectobacterium phage Koot, complete genome.	78.85	0.3
MK095202 Pectobacterium phage Khlen, complete genome.	78.69999999999999	0.3
NC_048117 Pectobacterium phage Khlen, complete genome.	78.69999999999999	0.3
OP508218 Acinetobacter phage BM12, complete genome.	86.0	0.1
OK546191 Acinetobacter phage vB_AbaP_ABWU2101, complete genome.	86.0	0.1
ON604651 Aeromonas phage JELG-KS1, complete genome.	75.6	0.2
MK095201 Pectobacterium phage Ekidair, complete genome.	80.6	0.1
NC_048119 Pectobacterium phage Phoria, complete genome.	80.6	0.1
MK095209 Pectobacterium phage Phoria, complete genome.	80.6	0.1
JN651747 Aeromonas phage phiAS7, complete genome.	80.3	0.1
NC_019528 Aeromonas phage phiAS7, complete genome.	80.3	0.1
OL634959 Bacteriophage Phi NF-1, complete genome.	86.9	0.1
OX241572 Vibrio phage 275E43-1 genome assembly, chromosome: VP115E34_1.	84.3	0.1
MK095207 Pectobacterium phage Nobby_B3, complete genome.	79.3	0.1
MK095192 Pectobacterium phage Astalicious, complete genome.	79.3	0.1
